"source","facility_type","name","lat","lon","address"
"Recreation","public park","Northside Blvd. Riverwalk",41.6613395850005,-86.2291250939996,"1350 Northside Blvd, South Bend, Indiana 46617"
"Recreation","other","City Cemetery",41.6776649860005,-86.2677648919997,"214 Elm Street, South Bend, Indiana 46616"
"Recreation","public park","Westhaven Park",41.6904709370005,-86.3059905639997,"1220 Sussex Drive, South Bend, Indiana 46628"
"Recreation","public park","Gwen Stiver Memorial Park",41.6740207370005,-86.2503000039997,"230 Michigan Street, South Bend, Indiana 46601"
"Recreation","golf course","Studebaker Golf Course",41.6541166300005,-86.2596433849997,"718 Calvert Street, South Bend, Indiana 46613"
"Recreation","golf course","Erskine Golf Course",41.6323767620005,-86.2347458889997,"4200 Miami Road, South Bend, Indiana 46614"
"Recreation","public park","Belleville Park",41.6600322600005,-86.3219828029997,"1300 S. Mayflower Road, South Bend, Indiana 46619"
"Recreation","golf course","Blackthorn Golf Course",41.7225437710005,-86.3340657749997,"6100 Nimtz Parkway, South Bend, Indiana 46628"
"Recreation","public park","Ryer Mini Park",41.7080112780005,-86.3076957779996,"1565 Ryer St. &nbsp;, South Bend, Indiana 46628"
"Recreation","other","Bowman Cemetery",41.6577732820001,-86.234952054,"1700 S. Miami Street, South Bend, Indiana 46613"
"Recreation","public park","LaSalle Landing Park",41.668178852,-86.32130868,"2800 Portage, South Bend, Indiana 46619"
"Recreation","public park","LaSalle Park",41.6756091460001,-86.295585806,"3419 W. Washington, South Bend, Indiana 46619"
"Recreation","public park","Leeper Park",41.6853021150001,-86.250494244,"820 N. Michigan St., South Bend, Indiana 46616"
"Recreation","public park","Marshall Park",41.6366607530001,-86.223109605,"3725 Springbrook, South Bend, Indiana 46614"
"Recreation","public park","Muessel Grove Park",41.690942023,-86.273983159,"1200 Wilbur Street, South Bend, Indiana 46628"
"Recreation","public park","Rum Village Park",41.6468285870001,-86.273117004,"2700 Gertrude St, South Bend, Indiana 46614"
"Recreation","public park","Brownfield Park",41.6932316600005,-86.2644975459997,"1022 Angela Blvd, South Bend, Indiana 46616"
"Recreation","golf course","Elbel Golf Course",41.7445257930005,-86.3830327709997,"26595 Auten Road, South Bend, Indiana 46628"
"Recreation","public park","Booth Tarkington",41.6987123030005,-86.2019078659997,"1722 Rerick Drive, South Bend, Indiana 46635"
"Recreation","public park","Boehm Park",41.694669059,-86.202794812,"3205 Edison Road, South Bend, Indiana 46617"
"Recreation","public park","Boland Park",41.708009518,-86.307769642,"3000 Bendix, South Bend, Indiana 46628"
"Recreation","public park","Coquillard Park",41.6859822590001,-86.230816512,"1300 Campaeu, South Bend, Indiana 46617"
"Recreation","public park","East Race Waterway",41.677401279,-86.244323289,"126 N. Niles, South Bend, Indiana 46617"
"Recreation","public park","Edison Park",41.6893208130001,-86.2133815619999,"2400 Rockne Dr, South Bend, Indiana 46615"
"Recreation","public park","Helman Mini Park",41.6898799030001,-86.20093431,"1118 Helmen, South Bend, Indiana 46615"
"Recreation","public park","Keller Park",41.7027801350001,-86.260425861,"1935 Riverside Drive, South Bend, Indiana 46616"
"Recreation","public park","Nokomis Park",41.6900532720001,-86.254169432,"310 Wakewa, South Bend, Indiana 46617"
"Recreation","public park","Parkovash Park",41.692074377,-86.252747003,"215 Parkovash Avenue, South Bend, Indiana 46617"
"Recreation","public park","Pier Park",41.6767998970001,-86.248729278,"124 N. St. Joseph Street, South Bend, Indiana 46601"
"Recreation","public park","Seitz Park",41.677774234,-86.249768012,"340 E. Colfax, South Bend, Indiana 46601"
"Recreation","public park","Veteran's Memorial Park",41.6602624860001,-86.225342337,"1501 Northside Blvd, South Bend, Indiana 46615"
"Recreation","public park","Howard Park",41.6785593220001,-86.241436823,"219 S. St. Louis Blvd, South Bend, Indiana 46617"
"Recreation","public park","Pinhook Park",41.713873929,-86.2712031899999,"2801 Riverside Drive, South Bend, Indiana 46616"
"Recreation","public park","Plaza Park",41.6719797110001,-86.245725684,"400 Columbia Street, South Bend, Indiana 46601"
"Recreation","public park","Pulaski Park",41.6701835150001,-86.270118686,"1308 Huron, South Bend, Indiana 46619"
"Recreation","public park","Randolph Mini Park",41.6558582180001,-86.22014035,"1809 Randolph Street, South Bend, Indiana 46613"
"Recreation","public park","Ravina Park",41.659412129,-86.2381902019999,"1522 Lebanon St., South Bend, Indiana 46613"
"Recreation","public park","River Manor Park",41.727566487,-86.273642282,"3811 Glenview Dr., South Bend, Indiana 46628"
"Recreation","public park","Sorin Mini Park",41.684633445,-86.2007712939999,"3366 Sorin Street, South Bend, Indiana 46615"
"Recreation","public park","Southeast Neighborhood Park",41.6625875440001,-86.243581219,"503 Wenger Street, South Bend, Indiana 46601"
